関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,レベル,プロセス名,プロセス ID,
"CDeviceEnumerator::GetDevice(unsigned short const *,struct IMMDevice * *)",1,0,0.03,0.00,"",0,"MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL",0x74F8690A,14,"mic.exe",4144,
"operator new[](unsigned int)",1,0,0.03,0.00,"",0,"MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL",0x74F81421,15,"mic.exe",4144,
"_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,16,"mic.exe",4144,
"@RtlpAllocateHeap@24",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A738FD,17,"mic.exe",4144,
"aqua::SDLW::init(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",63,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CB8A0,4,"mic.exe",4144,
"_SDL_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",584,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D278010,5,"mic.exe",4144,
"_DIB_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",585,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24F970,6,"mic.exe",4144,
"_WIN_GL_SetupWindow",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",173,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27DE80,7,"mic.exe",4144,
"ChoosePixelFormatARB",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",115,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27ECB0,8,"mic.exe",4144,
"_wglCreateContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B8E0,9,"mic.exe",4144,
"_wglCreateLayerContext@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B7A4,10,"mic.exe",4144,
"_CreateAnyContext@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0B5B7,11,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,12,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,13,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,14,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,15,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,16,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,17,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,18,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,19,"mic.exe",4144,
"[ig7icd32.dll]",1,1,0.03,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,20,"mic.exe",4144,
"不明なフレーム",116,0,3.77,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,1,"mic.exe",4144,
"[libfftw3f-3.dll]",84,42,2.73,1.37,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,2,"mic.exe",4144,
"[libfftw3f-3.dll]",41,7,1.33,0.23,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,3,"mic.exe",4144,
"[libfftw3f-3.dll]",34,7,1.11,0.23,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,4,"mic.exe",4144,
"[libfftw3f-3.dll]",27,2,0.88,0.07,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,5,"mic.exe",4144,
"[libfftw3f-3.dll]",25,1,0.81,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,6,"mic.exe",4144,
"[libfftw3f-3.dll]",24,1,0.78,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,7,"mic.exe",4144,
"[libfftw3f-3.dll]",22,1,0.72,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,8,"mic.exe",4144,
"[libfftw3f-3.dll]",20,1,0.65,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,9,"mic.exe",4144,
"[libfftw3f-3.dll]",19,2,0.62,0.07,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,10,"mic.exe",4144,
"[libfftw3f-3.dll]",17,4,0.55,0.13,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,11,"mic.exe",4144,
"[libfftw3f-3.dll]",12,3,0.39,0.10,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,12,"mic.exe",4144,
"[libfftw3f-3.dll]",9,2,0.29,0.07,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,13,"mic.exe",4144,
"[libfftw3f-3.dll]",7,1,0.23,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,14,"mic.exe",4144,
"[libfftw3f-3.dll]",6,3,0.20,0.10,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,15,"mic.exe",4144,
"[libfftw3f-3.dll]",3,1,0.10,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,16,"mic.exe",4144,
"[libfftw3f-3.dll]",2,1,0.07,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,17,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,18,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,19,"mic.exe",4144,
"[libfftw3f-3.dll]",1,1,0.03,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,20,"mic.exe",4144,
"_free",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,12,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,13,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,14,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,15,"mic.exe",4144,
"[libfftw3f-3.dll]",1,1,0.03,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,16,"mic.exe",4144,
"_malloc",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9CEE,9,"mic.exe",4144,
"_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,10,"mic.exe",4144,
"_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,11,"mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,12,"mic.exe",4144,
"__SEH_prolog4",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DEC4,13,"mic.exe",4144,
"_free",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,8,"mic.exe",4144,
"_RtlFreeHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,9,"mic.exe",4144,
"@RtlpLowFragHeapFree@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E392,10,"mic.exe",4144,
"_free",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,3,"mic.exe",4144,
"_RtlFreeHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,4,"mic.exe",4144,
"@RtlpLowFragHeapFree@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E392,5,"mic.exe",4144,
"[ig7icd32.dll]",25,2,0.81,0.07,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,2,"mic.exe",4144,
"[ig7icd32.dll]",22,8,0.72,0.26,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,3,"mic.exe",4144,
"[ig7icd32.dll]",14,5,0.46,0.16,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,4,"mic.exe",4144,
"[ig7icd32.dll]",7,2,0.23,0.07,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,5,"mic.exe",4144,
"[ig7icd32.dll]",4,0,0.13,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,6,"mic.exe",4144,
"[ig7icd32.dll]",4,1,0.13,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,7,"mic.exe",4144,
"[ig7icd32.dll]",3,1,0.10,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,8,"mic.exe",4144,
"[ig7icd32.dll]",2,1,0.07,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,9,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,10,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,11,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,12,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,13,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,14,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,15,"mic.exe",4144,
"_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,16,"mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,17,"mic.exe",4144,
"_GlobalAlloc@8",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76234DE7,6,"mic.exe",4144,
"_KernelBaseGetGlobalData@0",1,1,0.03,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76226C21,7,"mic.exe",4144,
"_RtlAllocateHeap@12",2,0,0.07,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,5,"mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",2,2,0.07,0.07,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,6,"mic.exe",4144,
"_wglCbPresentBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C3E9,3,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,4,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,5,"mic.exe",4144,
"[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,6,"mic.exe",4144,
"[ig7icd32.dll]",1,1,0.03,0.03,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,7,"mic.exe",4144,
"_SdbpFindNextIndexedWildCardTag@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495D2F,2,"mic.exe",4144,
"_SdbFindFirstTag@12",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,3,"mic.exe",4144,
"_SdbGetFirstChild@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349360D,4,"mic.exe",4144,
"_SdbpGetNextTagId@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493471,5,"mic.exe",4144,
"_SdbpGetTagHeadSize@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493734,6,"mic.exe",4144,
"_SdbpReadMappedData@16",1,1,0.03,0.03,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493690,7,"mic.exe",4144,
"DIB_ResizeWindow",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",512,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D250370,2,"mic.exe",4144,
"_NtUserSetWindowPos@28",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF8E4E,3,"mic.exe",4144,
"_KiUserCallbackDispatcher@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A500DC,4,"mic.exe",4144,
"___fnDWORD@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6E19,5,"mic.exe",4144,
"_DispatchClientMessage@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6D97,6,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,7,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,8,"mic.exe",4144,
"_ImeWndProcW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,9,"mic.exe",4144,
"_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,10,"mic.exe",4144,
"_ImeSystemHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFADAD,11,"mic.exe",4144,
"_FocusSetIMCContext@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9BB,12,"mic.exe",4144,
"_ImmSetActiveContext@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E32246,13,"mic.exe",4144,
"_SendMessageW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF9679,14,"mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,15,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,16,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,17,"mic.exe",4144,
"_WinMessage@16",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c",252,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D273BE0,18,"mic.exe",4144,
"_DIB_HandleMessage",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",133,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24D820,19,"mic.exe",4144,
"_DefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,20,"mic.exe",4144,
"_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFC5,21,"mic.exe",4144,
"_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF69ED,22,"mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,23,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,24,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,25,"mic.exe",4144,
"_ImeWndProcW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,26,"mic.exe",4144,
"_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,27,"mic.exe",4144,
"_ImeSetContextHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD7E2,28,"mic.exe",4144,
